Mixture;B cells;CD4 Naive;CD4 Memory;CD8 Naive;CD8 Memory;CD8 Effector;Treg cell;Th cell;Monocytes CD16;Monocytes CD14;DC;NK
TCGA-EB-A5FP-01A-11R-A27Q-07;0;0.166840961;0.256126263;0;0;0.015504415;0;0.2806342;0.057424008;0.011042987;0;0.002519785
TCGA-EB-A550-01A-61R-A27Q-07;0.069435202;0;0.332659811;0;0;0;0;0.403134372;0.115738601;0;0;0
TCGA-EB-A551-01A-21R-A27Q-07;0;0.1286703;0.155577528;0;0;0.030782621;0;0.212657793;0;0.05525422;0.252797623;0
TCGA-EB-A4XL-01A-11R-A27Q-07;0;0;0.105834985;0.126754236;0.028706077;0.000314763;0;0.465784965;0.093646188;0;0;0
TCGA-HR-A5NC-01A-11R-A27Q-07;0;0.154880437;0.09117655;0;0;0.005280114;0;0.258922973;0.115181914;0.109819403;0;0
TCGA-EB-A42Z-01A-12R-A24X-07;0;0.131871903;0.155679401;0;0.092159001;0;0;0.168162769;0;0.054183604;0.167653908;0
TCGA-EB-A430-01A-11R-A24X-07;0;0;0.457852303;0;0;0.00684053;0;0.265932934;0;0.012335879;0;0
TCGA-EB-A41B-01A-11R-A24X-07;0;0.076574258;0.110848219;0;0;0.009606706;0;0.671507066;0.004348104;0;0;0
TCGA-EB-A42Y-01A-12R-A24X-07;0;0;0.285554561;0;0;0.005901821;0;0.506991501;0;0.020936286;0;0
TCGA-ER-A42H-01A-11R-A24X-07;0.057886421;0.02608466;0.211051407;0.080276037;0;0.012729783;0;0.4771562;0;0;0;0.003681676
TCGA-D9-A4Z2-01A-11R-A24X-07;0;0;0.219840122;0.316966497;0;0;0;0.198187012;0;0.086167611;0.001895898;0
TCGA-FS-A4F0-06A-11R-A24X-07;0.015185842;0.011833306;0.273297645;0;0.066669015;0.006133421;0;0.457719784;0;0.11118896;0;0
TCGA-GF-A4EO-06A-12R-A24X-07;0.006575268;0.211369974;0;0;0.002621232;0.079513178;0;0.178115245;0;0.047532561;0.120579619;0
TCGA-ER-A42L-06A-11R-A24X-07;0.038598132;0.122107766;0;0;0;0.053395224;0.063524352;0.130607717;0.00345963;0.216958772;0;0
TCGA-FR-A44A-06A-11R-A24X-07;0.064960253;0.204372659;0.029646848;0;0;0.065086949;0;0.135199414;0;0;0.211614482;0
TCGA-FS-A4FC-06A-11R-A24X-07;0;0;0.388274695;0;0;0.006277359;0;0.357483514;0;0.103513517;0;0
TCGA-FS-A4F9-06A-11R-A24X-07;0;0.011998718;0.279950704;0;0;0.012404045;0;0.476117345;0.000113257;0;0;0
TCGA-EB-A3Y6-01A-21R-A239-07;0;0.101678423;0.406777837;0;0;0.010281013;0;0.229465328;0.003973622;0.015139685;0;0.001981184
TCGA-EB-A3XC-01A-11R-A239-07;0;0.111979463;0.224293679;0;0;0.021807662;0;0.351874681;0.10250546;0;0;0
TCGA-D9-A3Z4-01A-11R-A239-07;0;0.007155033;0.300445859;0;0.014800073;0;0;0.260570562;0;0.102249143;0.009641771;0
TCGA-EB-A3XB-01A-11R-A239-07;0;0.17101214;0.224011596;0;0;0.026751241;0;0.178959085;0;0;0.1679064;0
TCGA-EB-A3XF-01A-31R-A239-07;0;0.030519755;0.383328072;0;0;0.016441307;0;0.163666655;0.075310597;0.046756014;0.040297274;0.007613435
